Date (GMT+1),Day Ahead Auction
,"Price (EUR/MWh, EUR/tCO2)"
2022-01-01T00:00+01:00,82.02
2022-01-01T01:00+01:00,67.07
2022-01-01T02:00+01:00,75.11
2022-01-01T03:00+01:00,50.91
2022-01-01T04:00+01:00,37.67
2022-01-01T05:00+01:00,39.7
2022-01-01T06:00+01:00,40.59
2022-01-01T07:00+01:00,43.26
2022-01-01T08:00+01:00,49.66
2022-01-01T09:00+01:00,70.05
2022-01-01T10:00+01:00,76.79
2022-01-01T11:00+01:00,84.1
2022-01-01T12:00+01:00,94.74
2022-01-01T13:00+01:00,96.8
2022-01-01T14:00+01:00,97.17
2022-01-01T15:00+01:00,95.21
2022-01-01T16:00+01:00,111.66
2022-01-01T17:00+01:00,149.97
2022-01-01T18:00+01:00,146.33
2022-01-01T19:00+01:00,140.28
2022-01-01T20:00+01:00,121.88
2022-01-01T21:00+01:00,102.61
2022-01-01T22:00+01:00,97.46
2022-01-01T23:00+01:00,85.16
2022-01-02T00:00+01:00,57.08
2022-01-02T01:00+01:00,52.59
2022-01-02T02:00+01:00,48.97
2022-01-02T03:00+01:00,34.94
2022-01-02T04:00+01:00,29.56
2022-01-02T05:00+01:00,33.97
2022-01-02T06:00+01:00,34.52
2022-01-02T07:00+01:00,41.8
2022-01-02T08:00+01:00,48.95
2022-01-02T09:00+01:00,60.01
2022-01-02T10:00+01:00,70.09
2022-01-02T11:00+01:00,66.26
2022-01-02T12:00+01:00,64.54
2022-01-02T13:00+01:00,46.96
2022-01-02T14:00+01:00,41.95
2022-01-02T15:00+01:00,48.31
2022-01-02T16:00+01:00,51.91
2022-01-02T17:00+01:00,56.04
2022-01-02T18:00+01:00,69.32
2022-01-02T19:00+01:00,69.5
2022-01-02T20:00+01:00,62.22
2022-01-02T21:00+01:00,46.16
2022-01-02T22:00+01:00,46.29
2022-01-02T23:00+01:00,32.93
2022-01-03T00:00+01:00,-0.7
2022-01-03T01:00+01:00,-1.34
2022-01-03T02:00+01:00,-0.99
2022-01-03T03:00+01:00,-1.83
2022-01-03T04:00+01:00,-1.72
2022-01-03T05:00+01:00,0
2022-01-03T06:00+01:00,35.22
2022-01-03T07:00+01:00,88.5
2022-01-03T08:00+01:00,96
2022-01-03T09:00+01:00,70.5
2022-01-03T10:00+01:00,90.57
2022-01-03T11:00+01:00,101.33
2022-01-03T12:00+01:00,97.3
2022-01-03T13:00+01:00,96.2
2022-01-03T14:00+01:00,100.73
2022-01-03T15:00+01:00,117.23
